"","BTC-USD.Open","BTC-USD.High","BTC-USD.Low","BTC-USD.Close","BTC-USD.Volume","BTC-USD.Adjusted"
"1",387.427001953125,391.378997802734,380.779998779297,383.614990234375,26229400,383.614990234375
"2",383.988006591797,385.497009277344,372.946014404297,375.071990966797,21777700,375.071990966797
"3",375.180999755859,377.695007324219,357.859008789062,359.511993408203,30901200,359.511993408203
"4",359.891998291016,364.486999511719,325.885986328125,328.865997314453,47236500,328.865997314453
"5",328.915985107422,341.800994873047,289.295989990234,320.510009765625,83308096,320.510009765625
"6",320.389007568359,345.134002685547,302.559997558594,330.079010009766,79011800,330.079010009766
"7",330.584014892578,339.247009277344,320.481994628906,336.18701171875,49199900,336.18701171875
"8",336.115997314453,354.364013671875,327.18798828125,352.940002441406,54736300,352.940002441406
"9",352.747985839844,382.726013183594,347.68701171875,365.026000976562,83641104,365.026000976562
"10",364.68701171875,375.066986083984,352.963012695312,361.56201171875,43665700,361.56201171875
"11",361.361999511719,367.191009521484,355.950988769531,362.299011230469,13345200,362.299011230469
"12",362.605987548828,379.433013916016,356.144012451172,378.549011230469,17552800,378.549011230469
"13",377.920989990234,397.226013183594,368.897003173828,390.414001464844,35221400,390.414001464844
"14",391.691986083984,411.697998046875,391.324005126953,400.869995117188,38491500,400.869995117188
"15",400.954986572266,402.226989746094,388.765991210938,394.773010253906,25267100,394.773010253906
"16",394.518005371094,398.807006835938,373.070007324219,382.555999755859,26990000,382.555999755859
"17",382.756011962891,385.477996826172,375.389007568359,383.757995605469,13600700,383.757995605469
"18",383.976013183594,395.157989501953,378.971008300781,391.441986083984,11416800,391.441986083984
"19",391.253997802734,393.938995361328,386.457000732422,389.545989990234,5914570,389.545989990234
"20",389.230987548828,390.084014892578,378.252014160156,382.845001220703,16419000,382.845001220703
"21",382.420989990234,392.64599609375,380.834014892578,386.475006103516,14188900,386.475006103516
"22",386.118011474609,388.575988769531,382.248992919922,383.157989501953,11641300,383.157989501953
"23",382.962005615234,385.048004150391,356.446990966797,358.4169921875,26456900,358.4169921875
"24",358.591003417969,364.345001220703,353.304992675781,358.345001220703,15585700,358.345001220703
"25",358.610992431641,359.860992431641,342.877014160156,347.27099609375,18127500,347.27099609375
"26",347.486999511719,359.221008300781,343.930999755859,354.704010009766,11272500,354.704010009766
"27",354.777008056641,358.631988525391,349.808990478516,352.989013671875,13033000,352.989013671875
"28",353.214996337891,359.984008789062,352.678985595703,357.618011474609,7845880,357.618011474609
"29",357.088989257812,357.8330078125,335.342987060547,335.591003417969,18192700,335.591003417969
"30",335.709014892578,350.912994384766,335.071990966797,345.304992675781,30177900,345.304992675781
"31",345.009002685547,348.045013427734,337.141998291016,338.321014404297,12545400,338.321014404297
"32",338.649993896484,340.528991699219,321.054992675781,325.748992919922,16677200,325.748992919922
"33",326.075012207031,329.049987792969,320.626007080078,325.891998291016,8603620,325.891998291016
"34",325.569000244141,334.002014160156,325.480987548828,327.553985595703,12948500,327.553985595703
"35",327.161010742188,331.766998291016,325.076995849609,330.492004394531,15655500,330.492004394531
"36",330.683013916016,343.368988037109,330.683013916016,339.485992431641,19817200,339.485992431641
"37",339.4580078125,352.966003417969,338.424011230469,349.290008544922,18797000,349.290008544922
"38",349.817993164062,352.731994628906,341.776000976562,342.415008544922,16834200,342.415008544922
"39",342.153991699219,347.032012939453,342.153991699219,345.488006591797,8535470,345.488006591797
"40",345.376007080078,363.626007080078,344.255004882812,363.264007568359,24205600,363.264007568359
"41",362.265014648438,374.816009521484,357.561004638672,366.924011230469,30450100,366.924011230469
"42",365.856994628906,371.309997558594,363.734985351562,367.695007324219,15838900,367.695007324219
"43",367.984985351562,429.717987060547,367.984985351562,423.561004638672,45783200,423.561004638672
"44",427.273010253906,457.092987060547,401.122985839844,420.734985351562,58945000,420.734985351562
"45",418.4169921875,419.252014160156,384.789001464844,397.817993164062,29589200,397.817993164062
"46",399.649993896484,405.528015136719,371.007995605469,376.132995605469,15727500,376.132995605469
"47",374.730010986328,390.799011230469,374.601989746094,387.881988525391,11905600,387.881988525391
